Name,Rating,Genre,Release Date,Runtime,Url
The Dark Knight Rises,78,"Action,Crime,Drama,Thriller",07/20/2012,2h 45m,https://www.themoviedb.org/movie/49026
American Underdog,72,Drama,12/25/2021,1h 52m,https://www.themoviedb.org/movie/673309
Jujutsu Kaisen 0,79,"Animation,Action,Adventure,Mystery",12/24/2021,1h 45m,https://www.themoviedb.org/movie/810693
The Protégé,66,Action,08/20/2021,1h 49m,https://www.themoviedb.org/movie/645788
Orphan,69,"Horror,Thriller,Mystery",09/18/2009,2h 3m,https://www.themoviedb.org/movie/21208
Spider-Man: Into the Spider-Verse,84,"Action,Adventure,Animation,Science Fiction",12/14/2018,1h 57m,https://www.themoviedb.org/movie/324857
Spider-Man 3,63,"Fantasy,Action,Adventure",05/03/2007,2h 19m,https://www.themoviedb.org/movie/559
Sinkhole,71,"Comedy,Drama",08/11/2021,1h 53m,https://www.themoviedb.org/movie/623135
Redemption Day,62,Action,01/08/2021,1h 40m,https://www.themoviedb.org/movie/767304
The Twilight Saga: Eclipse,62,"Adventure,Fantasy,Drama,Romance",06/23/2010,2h 4m,https://www.themoviedb.org/movie/24021
Monster Family 2,71,"Animation,Family",01/13/2021,1h 43m,https://www.themoviedb.org/movie/823609
Toy Story,80,"Animation,Adventure,Family,Comedy",11/22/1995,1h 21m,https://www.themoviedb.org/movie/862
Descendants: The Royal Wedding,70,"TV Movie,Animation,Comedy,Family,Drama",08/13/2021,22m,https://www.themoviedb.org/movie/805411
Dragon Ball Super: Super Hero,NR,"Animation,Science Fiction,Action",04/22/2022,0,https://www.themoviedb.org/movie/610150
Sweet Girl,68,Action,08/18/2021,1h 50m,https://www.themoviedb.org/movie/619297
Seobok: Project Clone,76,"Science Fiction,Action",04/15/2021,1h 54m,https://www.themoviedb.org/movie/586047
